asin,date,forecast
B0036DUP6C,2026-03-02,0.15466786912797176
B0036DUP6C,2026-03-03,0.15892418016928778
B0036DUP6C,2026-03-04,0.16146767796952174
B0036DUP6C,2026-03-05,0.18155718097992488
B0036DUP6C,2026-03-06,0.17754493083557982
B0036DUP6C,2026-03-07,0.1856444443945517
B0036DUP6C,2026-03-08,0.20968654123748667
B0036DUP6C,2026-03-09,0.2608481954585485
B0036DUP6C,2026-03-10,0.21989368757118505
B0036DUP6C,2026-03-11,0.2251855831567354
B0036DUP6C,2026-03-12,0.23964175108712332
B0036DUP6C,2026-03-13,0.2539614899367983
B0036DUP6C,2026-03-14,0.251405021177534
B0036DUP6C,2026-03-15,0.28179337358036494
B0036DUP6C,2026-03-16,0.3004960272968194
B0036DUP6C,2026-03-17,0.29603680159112766
B0036DUP6C,2026-03-18,0.2537917626730412
B0036DUP6C,2026-03-19,0.290985740265551
B0036DUP6C,2026-03-20,0.2559807801585992
B0036DUP6C,2026-03-21,0.2547999610559032
B0036DUP6C,2026-03-22,0.2690642912489416
B0036DUP6C,2026-03-23,0.31431470420455876
B0036DUP6C,2026-03-24,0.2816390824395583
B0036DUP6C,2026-03-25,0.2705435160305835
B0036DUP6C,2026-03-26,0.2921385158401968
B0036DUP6C,2026-03-27,0.2690308551719599
B0036DUP6C,2026-03-28,0.29272804179580253
B0036DUP6C,2026-03-29,0.3104759037942243
B0036DUP6C,2026-03-30,0.34230208095461606
B0036DUP6C,2026-03-31,0.2872610072661771
B0036DYUV8,2026-03-02,0.27286504735837985
B0036DYUV8,2026-03-03,0.28233521949535506
B0036DYUV8,2026-03-04,0.2933592132672104
B0036DYUV8,2026-03-05,0.2946517758043585
B0036DYUV8,2026-03-06,0.2830907303054589
B0036DYUV8,2026-03-07,0.2682248888932441
B0036DYUV8,2026-03-08,0.3142768709601208
B0036DYUV8,2026-03-09,0.33400092424395794
B0036DYUV8,2026-03-10,0.27605103166702166
B0036DYUV8,2026-03-11,0.31036714552727096
B0036DYUV8,2026-03-12,0.3184005463081082
B0036DYUV8,2026-03-13,0.3166272572467673
B0036DYUV8,2026-03-14,0.3047446923955514
